entry_id,title,jurisdiction,income_group,region,depth_score,pct_deep,n_items,values_depth,principles_depth,mechanisms_depth
638b4919326c,Ethics Guidelines for AI,Thailand,Developing,East Asia & Pacific,3.913,78.3,23,3.727,4.143,4.000
23c0033aaf82,Smart Specialization Technologies for Agro-ecology and Forestry (PNRR) in the context of the National Forest Strategy 2030,Romania,High income,Europe & Central Asia,3.909,72.7,11,3.333,4.000,4.250
dc82502af976,Digital Compass/data policy,Finland,High income,Europe & Central Asia,3.909,90.9,11,3.750,4.000,4.000
e216439a9233,Deepfakes Guidelines,Saudi Arabia,High income,Middle East & North Africa,3.900,65.0,20,4.200,4.000,3.625
8cb260639748,CHIPS for America Act,United States,High income,North America,3.900,80.0,10,4.250,3.000,4.333
110e36d1d430,National Roadmap for Research Infrastructure (2021-2027),Bulgaria,Developing,Europe & Central Asia,3.900,80.0,10,4.000,3.333,4.250
b80acb77a856,AI for Children,Czech Republic,High income,Europe & Central Asia,3.900,70.0,10,4.000,3.500,4.333
a732dc4ea4eb,Next-Generation Non-Surgical Neurotechnology Programme,United States,High income,North America,3.900,80.0,10,4.250,3.667,3.667
31a10f23ba25,AI Competence Center,Slovenia,High income,Europe & Central Asia,3.889,66.7,9,3.333,4.333,4.000
ec2fde7f8892,Voluntary AI Safety Standard,Australia,High income,East Asia & Pacific,3.889,72.2,18,3.714,4.833,3.000
3a0bda1951eb,G7 Hiroshima Process on Generative Artificial Intelligence,G7,Unknown,Unknown,3.889,83.3,18,3.857,4.167,3.600
a130c06ee84f,Research Council of Norway's ICT Research Programmes,Norway,High income,Europe & Central Asia,3.889,66.7,9,3.667,3.667,4.333
9d33e8c0e63a,Cybersecurity Policy for AI Deployment,Colombia,Developing,Latin America & Caribbean,3.875,81.2,16,4.167,3.333,4.250
3c9684c2133d,Invest 2035: The Uk's Modern Industrial Strategy,United Kingdom,High income,Europe & Central Asia,3.875,75.0,8,4.000,4.000,3.500
30eaf111ffc2,Romanian National HPC Competence Center (RoNCC),Romania,High income,Europe & Central Asia,3.875,75.0,8,2.000,4.000,4.250
f79bd321b808,ReGeneration Initiative,Greece,High income,Europe & Central Asia,3.875,75.0,8,3.667,4.000,4.000
de836ce0d2e6,Artificial Intelligence in the Financial Sector – Interim Report of the Inter-Agency Task Force on the Use of Artificial Intelligence and Machine Learning in Israel's Financial Sector,Israel,High income,Middle East & North Africa,3.870,69.6,23,3.625,4.222,3.667
29446f0b91a2,Court Ruling on the Use of AI Software in Hesse and Hamburg,Germany,High income,Europe & Central Asia,3.867,80.0,15,4.250,4.000,3.400
3e4b24502b37,AI Guidelines for Business Ver1.0,Japan,High income,East Asia & Pacific,3.867,80.0,15,4.200,3.833,3.500
1e66dc7dfe76,Public Administration Data Strategy,Malta,High income,Europe & Central Asia,3.864,72.7,22,3.833,4.000,3.667
a259b4f44199,France 2030: digital health acceleration strategy,France,High income,Europe & Central Asia,3.857,78.6,14,3.500,3.800,4.200
e982c899fed9,Innocities,Finland,High income,Europe & Central Asia,3.857,85.7,7,3.500,4.000,4.000
28a6aad3a6cb,Canada's Directive on Automated Decision-making,Canada,High income,North America,3.850,75.0,20,3.667,3.857,4.000
0a36d930cd4a,Net Zero Cities,Slovenia,High income,Europe & Central Asia,3.846,76.9,13,3.250,4.000,4.250
75c96cc6bf44,Government Digital Innovation Regulatory Sandbox,Zambia,Developing,Sub-Saharan Africa,3.846,61.5,13,3.333,3.667,4.500
995c0dccc831,Sunet Data Center DC Orion in Kalix + EOSC data storage,Sweden,High income,Europe & Central Asia,3.846,69.2,13,3.667,4.000,3.800
576318f01f67,National Health Strategy 2030,Bulgaria,Developing,Europe & Central Asia,3.846,84.6,13,4.000,3.750,3.750
7a9a9e17424a,AI Register,Finland,High income,Europe & Central Asia,3.842,68.4,19,4.000,3.857,3.667
95e2b3778ee1,Get Qualified Scheme,Malta,High income,Europe & Central Asia,3.833,66.7,6,4.000,3.500,4.000
b95f00e0032a,Innovation Fund Denmark,Denmark,High income,Europe & Central Asia,3.833,66.7,12,3.500,3.600,4.200
997be3b33fdd,AI Standardisation Committee,India,Developing,South Asia,3.833,83.3,18,4.000,3.857,3.600
ce9c6b33f169,AI Framework Guiding Statements,Germany,High income,Europe & Central Asia,3.824,70.6,17,4.000,3.667,3.800
cc940499d1c1,AI Strategy of Japan,Japan,High income,East Asia & Pacific,3.824,82.4,17,3.833,4.000,3.600
ffe8597205f1,EU4Health Program 2021-2027,Romania,High income,Europe & Central Asia,3.818,72.7,11,3.750,3.667,4.000
11adf10c3f89,Finland AI Enforcement and Case Law in Employment,Finland,High income,Europe & Central Asia,3.818,63.6,11,3.500,4.750,3.000
7bfce7360d35,Recommendations for a trustworthy Artificial Intelligence,Argentina,Developing,Latin America & Caribbean,3.818,68.2,22,3.889,3.889,3.500
16c41fd3a637,SFI Research Centres and Spokes Programme,Ireland,High income,Europe & Central Asia,3.818,72.7,11,3.000,3.750,4.500
1d02193d8ebd,Platform Industry 4.0 Austria,Austria,High income,Europe & Central Asia,3.818,81.8,11,3.500,4.000,4.000
ef9b7d8a3ec8,AI and academic integrity guidelines,Ireland,High income,Europe & Central Asia,3.812,81.2,16,3.333,4.000,4.200
550276bceffc,The Robustness and Explainability of Artificial Intelligence,European Union,Unknown,Unknown,3.810,66.7,21,3.667,4.100,3.400
faaa82d8c4c4,Dutch Vision on Data Sharing Between Companies,Netherlands,High income,Europe & Central Asia,3.800,80.0,15,4.000,4.000,3.400
e587786f4c6c,MFUND,Germany,High income,Europe & Central Asia,3.800,70.0,10,4.000,3.333,4.000
d31794b7a774,12th National Economic and Social Development Plan,Thailand,Developing,East Asia & Pacific,3.800,75.0,20,3.500,4.143,3.800
b56a5d4e08ba,Business Finland campaign on Generative AI,Finland,High income,Europe & Central Asia,3.800,60.0,5,3.000,4.000,4.000
baf2bacf0e39,Changes in the Health Register Act,Norway,High income,Europe & Central Asia,3.800,60.0,5,5.000,2.000,4.000
4e9b346892f6,American Workforce Policy Advisory Board,United States,High income,North America,3.800,80.0,10,3.667,3.333,4.250
c96a7e80603f,Protecting the U.S. Advantage in AI and Related Critical Technologies,United States,High income,North America,3.786,71.4,14,3.750,3.000,4.600
002d865a9ed0,Argentina,Argentina,Developing,Latin America & Caribbean,3.786,78.6,14,3.800,3.800,3.750
005775d5a30e,The National AI Policy,Rwanda,Developing,Sub-Saharan Africa,3.778,72.2,18,3.667,3.667,4.000
a25e14243206,High- and Highest-Performance-Computing for the Digital Age,Germany,High income,Europe & Central Asia,3.778,66.7,9,3.667,3.667,4.000
5e7952c0b0f8,Centre for Excellence in Language Technology,Latvia,High income,Europe & Central Asia,3.778,77.8,9,3.333,4.000,4.000
14e310aaefae,Fast Track,Poland,High income,Europe & Central Asia,3.778,77.8,9,3.667,3.667,4.000
ebea04d5a343,Innovation Superclusters Initiative,Canada,High income,North America,3.778,66.7,9,4.000,3.667,3.667
c2b0c6e09793,Promotion of inclusion and diversity in AI ecosystems,France,High income,Europe & Central Asia,3.778,66.7,9,3.250,3.500,4.667
9ca096795e31,National Data Index Operational Excellence,Saudi Arabia,High income,Middle East & North Africa,3.769,69.2,13,2.333,4.400,4.000
87789a0f5043,PoVejMo,Slovenia,High income,Europe & Central Asia,3.769,69.2,13,4.200,3.000,4.000
458cac78806f,Kenya's Digital Literacy Programme (DigiSchool),Kenya,Developing,Sub-Saharan Africa,3.769,76.9,13,3.400,4.500,3.500
44c1134740ab,AI Innovation Action Plan for Institutions of Higher Education,China (People’s Republic of),Unknown,Unknown,3.769,69.2,13,3.800,3.500,4.000
4867ca644434,"Request for Information and Comment on Financial Institutions' Use of AI, Including ML",United States,High income,North America,3.769,69.2,13,3.750,4.000,3.500
33ba715e0256,Italian Institute for AI,Italy,High income,Europe & Central Asia,3.765,64.7,17,3.500,3.667,4.200
bd5dd7ab91d0,Tech Trends Position Statement: Generative AI,Australia,High income,East Asia & Pacific,3.765,64.7,17,3.500,4.333,3.400
e7c88f57de1a,The Rules Governing the National Register of Controllers Within the Kingdom,Saudi Arabia,High income,Middle East & North Africa,3.750,75.0,12,3.333,4.000,3.800
800640f06355,European Digital Innovation Hubs (EDIHs),Bulgaria,Developing,Europe & Central Asia,3.750,75.0,8,3.500,4.000,3.667
0c47e30f66df,EDIH Adria,Croatia,High income,Europe & Central Asia,3.750,75.0,8,3.500,3.667,4.000
2e7cc4de9eab,Call for Contributions to the Regulatory Sandbox for Artificial Intelligence and Data Protection,Brazil,Developing,Latin America & Caribbean,3.750,62.5,8,3.333,3.333,5.000
53369ed9bfe9,Slovak Quantum Communication Infrastructure,Slovak Republic,High income,Europe & Central Asia,3.750,75.0,8,4.000,3.000,4.000
46f200e14376,National Defense Authorization Act for Fiscal Year 2021,United States,High income,North America,3.750,62.5,8,5.000,2.000,4.000
f47cf9b1d92b,Automated Vehicles 3.0: Preparing for the Future of Transportation,United States,High income,North America,3.750,68.8,16,3.800,3.833,3.600
f3bc6ad23301,Guide to the Saudi Personal Data Protection Law for Controllers and Processors,Saudi Arabia,High income,Middle East & North Africa,3.750,66.7,12,3.667,4.000,3.500
500480ef711b,Human Rights in the Age of Artificial Intelligence,Ukraine,Developing,Europe & Central Asia,3.750,75.0,16,4.167,3.800,3.200
121134fd027d,Slovakia	Strategic Transport Development Plan of the Slovak Republic until 2030,Slovenia,High income,Europe & Central Asia,3.750,66.7,12,3.750,3.750,3.750
bff2a6467409,Sandbox on Privacy by Design and Default in AI,Colombia,Developing,Latin America & Caribbean,3.750,75.0,4,4.000,5.000,3.000
003e5116aed8,Generative Artificial Intelligence Guidelines Public,Saudi Arabia,High income,Middle East & North Africa,3.750,58.3,24,4.143,3.889,3.250
e78959b61e9a,Legal Opinion: Uses of Copyrighted Materials for Machine Learning,Israel,High income,Middle East & North Africa,3.750,62.5,8,3.667,4.333,3.000
a8958ac33c5f,Testing and experimentation facilities,France,High income,Europe & Central Asia,3.750,75.0,4,0.000,0.000,3.750
e8a539ef4114,CDEI Snapshot Paper: AI and Personal Insurance,United Kingdom,High income,Europe & Central Asia,3.750,75.0,12,3.750,4.000,3.500
e382b8c2b6b8,Centre of Excellence for AI and Emerging Technologies,India,Developing,South Asia,3.750,62.5,8,3.500,3.333,4.333
6e0f41144f2c,Berufsinfomat,Austria,High income,Europe & Central Asia,3.750,75.0,8,3.667,3.667,4.000
0d5a6cd4b98e,Government Data Science Partnership,United Kingdom,High income,Europe & Central Asia,3.750,50.0,4,0.000,3.000,4.500
0ebb0e538aca,The Conference Toward AI Network Society,Japan,High income,East Asia & Pacific,3.750,75.0,12,3.800,3.750,3.667
0eb80dd3b943,National Research and Innovation Strategy,Luxembourg,High income,Europe & Central Asia,3.737,68.4,19,3.857,3.571,3.800
b8c0ce52eda8,Guidance on Artificial Intelligence (AI) and Machine Learning (ML) technologies based Medical Devices,Saudi Arabia,High income,Middle East & North Africa,3.737,73.7,19,3.000,3.857,4.143
076227526e80,Brazilian AI strategy,Brazil,Developing,Latin America & Caribbean,3.737,78.9,19,3.571,4.143,3.400
61c608061162,Executive Order on Maintaining American Leadership in AI,United States,High income,North America,3.733,66.7,15,3.750,3.000,4.600
730a09f7325b,Guideline for the Elaboration of Privacy Impact Assessments,Mexico,Developing,Latin America & Caribbean,3.733,73.3,15,3.750,3.833,3.600
06df7baf7cd0,AI/ML-Based Software as a Medical Device Action Plan,United States,High income,North America,3.733,73.3,15,3.333,3.667,4.000
5c332e711c86,CDEI Snapshot Paper: Deepfakes and Audio-visual Disinformation,United Kingdom,High income,Europe & Central Asia,3.733,66.7,15,3.400,3.200,4.600
fb1d2100dd0b,Personal Data Breach Incidents Procedural Guide,Saudi Arabia,High income,Middle East & North Africa,3.727,63.6,11,3.667,3.750,3.750
3a302b9d76f1,AIAMO Mobility Data Hub & Services,Germany,High income,Europe & Central Asia,3.727,81.8,11,4.000,3.000,4.000
e379f11945e1,Open Data Project,Türkiye,Developing,Europe & Central Asia,3.727,72.7,11,4.000,3.750,3.333
383ccc8b9ea2,National AI Strategy 2.0,Singapore,High income,East Asia & Pacific,3.722,77.8,18,4.167,3.000,4.000
7d90f0c6feb9,Assuring a Responsible Future for AI,United Kingdom,High income,Europe & Central Asia,3.722,72.2,18,3.333,3.500,4.333
415612978265,Hiroshima Artificial Intelligence Process Code of Conduct Reporting Framework,OECD/GPAI,Unknown,Unknown,3.719,68.8,32,3.700,3.636,3.818
919f57d3ac97,Next Generation AI Graduates Program,Australia,High income,East Asia & Pacific,3.714,64.3,14,3.600,3.600,4.000
10b319be0b20,Data Classification Policy,Saudi Arabia,High income,Middle East & North Africa,3.714,71.4,14,4.000,3.000,4.167
a12e0db88ca0,Ministry of Health Digital Strategy Framework and Roadmap,Saudi Arabia,High income,Middle East & North Africa,3.714,78.6,14,3.400,3.600,4.250
98b2ec9eeecb,Burokratt - Government AI Virtual Assisstant,Estonia,High income,Europe & Central Asia,3.714,71.4,7,3.667,4.000,3.500
09eb31edc363,"Space Infrastructure Fund - Robotics, Automation and AI Command and Control Centre",Australia,High income,East Asia & Pacific,3.714,57.1,7,4.000,3.333,4.000
01c11d0a263a,Digital Czech Republic,Czech Republic,High income,Europe & Central Asia,3.714,71.4,7,3.667,3.000,4.500
7aeac4490058,Action Plan on Human Rights,Türkiye,Developing,Europe & Central Asia,3.708,70.8,24,3.636,3.625,4.000
8e0651619643,Data Sharing Policy,Saudi Arabia,High income,Middle East & North Africa,3.706,76.5,17,3.400,4.000,3.667
e927ca52e80f,Standards Australia: AI Roadmap,Australia,High income,East Asia & Pacific,3.706,58.8,17,4.200,3.286,3.800
5225adf63d55,Alan Turing Institute,United Kingdom,High income,Europe & Central Asia,3.706,70.6,17,4.000,3.333,3.800
871f6a5a0f83,Principles for Safe and Effective Use of Data and Analytics,New Zealand,High income,East Asia & Pacific,3.706,64.7,17,3.333,4.000,3.750
791159a5bd1d,Human-centred Artificial Intelligence for Human Resources: A Toolkit for Human Resources Professionals,Türkiye,Developing,Europe & Central Asia,3.706,70.6,17,3.750,3.571,3.833
