entry_id,title,jurisdiction,year,text_quality,n_models,policy_type,binding_nature,c1_clarity,c2_resources,c3_authority,c4_accountability,c5_coherence,e1_framework,e2_rights,e3_governance,e4_operationalisation,e5_inclusion,capacity_score,ethics_score,overall_score,mean_spread,income_group,income_binary,region,region_code,gdp_pc,is_international,log_gdp_pc
a0314c0efd3d,Regulatory Framework for Automated Vehicles in Australia,Australia,2022.0,good,3,Framework,Soft law,3,1,3,2,3,2,1,2,2,2,2.4,1.8,2.1,0.8,High income,High income,East Asia & Pacific,EAP,65400.0,False,11.08827753744529
fb214761a9e1,Project on Spanish Language and AI,Spain,2022.0,good,3,Regulation,Binding regulation,2,2,3,2,3,2,2,2,2,1,2.4,1.8,2.1,0.6,High income,High income,Europe & Central Asia,ECA,55000.0,False,10.915088464214607
7aeac4490058,Action Plan on Human Rights,Türkiye,2021.0,good,3,Action Plan,Non-binding,2,1,2,2,3,2,2,2,2,3,2.0,2.2,2.1,0.5,Upper middle income,Developing,Europe & Central Asia,ECA,41900.0,False,10.643041105910228
a259b4f44199,France 2030: digital health acceleration strategy,France,2021.0,good,3,Strategy,Non-binding,2,3,3,2,3,1,1,2,2,2,2.6,1.6,2.1,0.8,High income,High income,Europe & Central Asia,ECA,63000.0,False,11.05089000537367
870627c80617,EuroHPC JU,Romania,2021.0,good,3,Regulation,Hard law,3,2,3,1,3,1,2,2,2,2,2.4,1.8,2.1,1.1,High income,High income,Europe & Central Asia,ECA,43800.0,False,10.687389096364537
540902441f6f,General Law on Protection of Personal Data,Brazil,2020.0,good,3,Legislation,Hard law,2,1,3,2,2,2,3,2,3,1,2.0,2.2,2.1,0.4,Upper middle income,Developing,Latin America & Caribbean,LAC,20800.0,False,9.94270826568941
83b5fffaaa3c,Open Data Policy,Tunisia,2019.0,good,3,Policy,Soft law,3,1,3,3,2,1,2,2,3,1,2.4,1.8,2.1,0.6,Lower middle income,Developing,Middle East & North Africa,MENA,13500.0,False,9.51044496442652
c96a7e80603f,Protecting the U.S. Advantage in AI and Related Critical Technologies,United States,2018.0,good,3,Executive Order,Non-binding,2,2,3,2,3,2,2,2,2,1,2.4,1.8,2.1,0.7,High income,High income,North America,NAM,85300.0,False,11.35392973347977
103d39d208b2,Unmanned Aircraft Systems Integration Pilot Program,United States,2017.0,good,3,Executive Order,Non-binding,2,1,3,3,3,1,2,2,2,2,2.4,1.8,2.1,0.5,High income,High income,North America,NAM,85300.0,False,11.35392973347977
cd5c1f11ebe2,Medical Research Future Fund,Australia,2016.0,good,3,Action Plan,Soft law,3,4,3,2,3,1,1,1,1,2,3.0,1.2,2.1,1.1,High income,High income,East Asia & Pacific,EAP,65400.0,False,11.08827753744529
bb6825f0ef07,European Group on Ethics in Science and New Technologies (EGE),European Union,1991.0,good,3,Framework,Non-binding,1,1,3,2,3,3,2,2,1,3,2.0,2.2,2.1,0.9,Unknown,,Unknown,,,True,
d08017413cdd,Declaration of Montevideo,"The United Nations Educational, Scientific and Cultural Organization",2024.0,good,3,Action Plan,Non-binding,2,1,2,2,3,2,2,2,1,3,2.0,2.0,2.0,0.5,Unknown,,Unknown,,,True,
406194f89736,Guidelines for Binding Common Rules (BCR) for Personal Data Transfer,Saudi Arabia,2024.0,good,3,Guideline,Soft law,2,1,3,2,2,2,2,2,3,1,2.0,2.0,2.0,0.5,High income,High income,Middle East & North Africa,MENA,65600.0,False,11.09133097493218
c196d906b3a5,Australian Framework for Generative AI in Schools,Australia,2023.0,good,3,Framework,Non-binding,2,0,2,2,3,3,2,2,1,3,1.8,2.2,2.0,0.8,High income,High income,East Asia & Pacific,EAP,65400.0,False,11.08827753744529
3ac2c47b09d8,National Cybersecurity Strategy,Costa Rica,2023.0,good,3,Strategy,Non-binding,2,1,2,2,3,2,2,2,2,2,2.0,2.0,2.0,0.8,Upper middle income,Developing,Latin America & Caribbean,LAC,25600.0,False,10.150347630467653
8bfb4dbae05c,Amendments to Personal Data Protection Law,Saudi Arabia,2023.0,good,3,Legislation,Hard law,2,1,2,2,2,2,3,2,3,1,1.8,2.2,2.0,0.6,High income,High income,Middle East & North Africa,MENA,65600.0,False,11.09133097493218
d7b6dbbcefce,Future Artificial Intelligence Research (FAIR) Centre,Italy,2023.0,good,3,Program,Non-binding,2,3,2,1,3,2,1,2,2,2,2.2,1.8,2.0,0.8,High income,High income,Europe & Central Asia,ECA,57200.0,False,10.95430917736789
0a36d930cd4a,Net Zero Cities,Slovenia,2023.0,good,3,Action Plan,Non-binding,3,1,3,2,3,1,1,2,2,2,2.4,1.6,2.0,0.6,High income,High income,Europe & Central Asia,ECA,55600.0,False,10.925938480238674
1efdb6146ce7,Establishment of Edge nodes indicators,Slovenia,2023.0,good,3,Decision,Soft law,2,1,2,2,3,2,2,2,2,2,2.0,2.0,2.0,0.5,High income,High income,Europe & Central Asia,ECA,55600.0,False,10.925938480238674
854c92af4060,Anonymization of Court Decisions,Austria,2022.0,good,3,Legislation,Hard law,2,2,3,2,2,1,2,2,2,2,2.2,1.8,2.0,0.6,High income,High income,Europe & Central Asia,ECA,72000.0,False,11.184421397998193
8cd77a60ce4f,Quantum Spain,Spain,2022.0,good,3,Regulation,Hard law,3,3,3,2,3,1,1,1,2,1,2.8,1.2,2.0,0.7,High income,High income,Europe & Central Asia,ECA,55000.0,False,10.915088464214607
a3f5f51095ea,National Genomic Data Infrastructure (GDI) Node and 1+ Million Genome Project,Romania,2022.0,good,3,Framework,Soft law,2,2,3,1,3,2,2,2,2,1,2.2,1.8,2.0,1.0,High income,High income,Europe & Central Asia,ECA,43800.0,False,10.687389096364537
71a234b1fe88,Estonia's Digital Agenda 2030,Estonia,2021.0,good,3,Strategy,Non-binding,2,2,2,2,3,2,2,2,1,2,2.2,1.8,2.0,0.9,High income,High income,Europe & Central Asia,ECA,51500.0,False,10.849337086651827
58e0195a9acf,National AI programme of Slovenia,Slovenia,2021.0,good,3,Program,Non-binding,2,2,2,2,3,2,2,2,1,2,2.2,1.8,2.0,1.2,High income,High income,Europe & Central Asia,ECA,55600.0,False,10.925938480238674
e9ea54f3458a,Women in Digital,Belgium,2021.0,good,3,Strategy,Non-binding,2,1,2,2,3,2,2,2,1,3,2.0,2.0,2.0,0.8,High income,High income,Europe & Central Asia,ECA,68500.0,False,11.134589024250317
ffe8597205f1,EU4Health Program 2021-2027,Romania,2021.0,good,3,Program,Binding regulation,2,3,3,3,3,1,1,1,1,2,2.8,1.2,2.0,1.8,High income,High income,Europe & Central Asia,ECA,43800.0,False,10.687389096364537
ce72d6d11fce,National Code of Digital Technologies,Costa Rica,2020.0,good,3,Framework,Non-binding,2,1,2,2,3,2,2,2,2,2,2.0,2.0,2.0,0.6,Upper middle income,Developing,Latin America & Caribbean,LAC,25600.0,False,10.150347630467653
e42af153a866,Sandbox Framework for Adoption of Innovative Technologies in the Public Sector,Mauritius,2020.0,good,3,Framework,Soft law,2,2,3,2,3,1,2,2,2,1,2.4,1.6,2.0,0.4,Upper middle income,Developing,Sub-Saharan Africa,SSA,30800.0,False,10.335269968961667
5b5bc2b2629f,AI Ethics and Governance Body of Knowledge,Singapore,2020.0,good,3,Framework,Non-binding,2,1,2,1,3,3,1,3,2,2,1.8,2.2,2.0,0.8,High income,High income,East Asia & Pacific,EAP,133700.0,False,11.803353763090035
7c2fb1589678,National Initiative for Secured Intelligence Systems,Israel,2020.0,good,3,Strategy,Non-binding,3,3,2,1,2,2,1,2,2,2,2.2,1.8,2.0,1.1,High income,High income,Middle East & North Africa,MENA,58000.0,False,10.968198289528557
236208cb47a0,National AI Advisory Committee's Subcommittee on Law Enforcement,United States,2020.0,good,3,Guideline,Soft law,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0,0.7,High income,High income,North America,NAM,85300.0,False,11.35392973347977
0c1c048e80fa,Open Data Policy,Saudi Arabia,2020.0,good,3,Policy,Soft law,3,1,3,3,2,1,2,2,2,1,2.4,1.6,2.0,1.0,High income,High income,Middle East & North Africa,MENA,65600.0,False,11.09133097493218
50bd0f33180d,AI for SMEs Grants (KI4KMU),Germany,2020.0,good,3,Program,Soft law,2,2,3,2,3,2,2,1,2,1,2.4,1.6,2.0,0.8,High income,High income,Europe & Central Asia,ECA,68200.0,False,11.130199843831553
53d5f15dcd59,Open Data Directive,European Union,2019.0,good,3,Directive,Hard law,2,1,3,2,3,2,2,2,2,1,2.2,1.8,2.0,0.8,Unknown,,Unknown,,,True,
ae2082963193,Strategic Action Plan for AI,Netherlands,2019.0,good,3,Action Plan,Non-binding,2,2,2,2,3,2,2,2,1,2,2.2,1.8,2.0,0.3,High income,High income,Europe & Central Asia,ECA,74000.0,False,11.211820372186306
4500aaea3f81,Regulatory Sandboxes Enabling Innovation and Advancing Regulation,Germany,2018.0,good,3,Framework,Soft law,2,1,3,2,3,1,2,2,2,2,2.2,1.8,2.0,0.8,High income,High income,Europe & Central Asia,ECA,68200.0,False,11.130199843831553
24809913a61a,Data Protection Authority,Iceland,2018.0,thin,3,Legislation,Hard law,2,1,3,2,2,2,2,2,3,1,2.0,2.0,2.0,1.8,High income,High income,Europe & Central Asia,ECA,75200.0,False,11.227906509937931
b0f5a40df24c,Communication Artificial Intelligence for Europe,European Union,2018.0,good,3,Communication,Non-binding,2,3,2,1,3,2,2,2,1,2,2.2,1.8,2.0,0.4,Unknown,,Unknown,,,True,
4aeda0aa44de,Act on Testing Self-Driving Vehicles,Norway,2017.0,good,3,Legislation,Hard law,2,1,3,2,1,2,2,2,3,2,1.8,2.2,2.0,2.4,High income,High income,Europe & Central Asia,ECA,87900.0,False,11.383955083673268
ccb99ccc82bf,Federal Data Strategy,Belgium,2025.0,good,3,Strategy,Soft law,2,1,2,2,2,2,2,2,2,2,1.8,2.0,1.9,0.9,High income,High income,Europe & Central Asia,ECA,68500.0,False,11.134589024250317
0c8401cacd8f,Rules for Appointing Personal Data Protection Officer,Saudi Arabia,2024.0,good,3,Regulation,Binding regulation,2,1,3,2,2,1,2,2,3,1,2.0,1.8,1.9,0.5,High income,High income,Middle East & North Africa,MENA,65600.0,False,11.09133097493218
c52b4105ff80,AI factory - Pharos,Greece,2024.0,thin,3,Program,Non-binding,2,3,3,1,3,2,1,2,1,1,2.4,1.4,1.9,0.7,High income,High income,Europe & Central Asia,ECA,42700.0,False,10.661954199216716
f2f358b558b5,AI-Ready Flemish Public Administration,Belgium,2024.0,good,3,Program,Non-binding,2,1,2,1,3,2,2,2,2,2,1.8,2.0,1.9,0.8,High income,High income,Europe & Central Asia,ECA,68500.0,False,11.134589024250317
d066d935722d,GenAI Team at the CaMiNO,Poland,2024.0,good,3,Guideline,Soft law,2,1,3,2,2,2,2,2,2,1,2.0,1.8,1.9,0.4,High income,High income,Europe & Central Asia,ECA,47200.0,False,10.762149171573647
8e0651619643,Data Sharing Policy,Saudi Arabia,2024.0,good,3,Guideline,Soft law,2,1,3,2,2,2,2,2,2,1,2.0,1.8,1.9,0.2,High income,High income,Middle East & North Africa,MENA,65600.0,False,11.09133097493218
9a810fbfcb0c,Secure platform for developing transparent Danish language models,Denmark,2024.0,good,3,Strategy,Non-binding,2,3,2,1,2,2,2,2,2,1,2.0,1.8,1.9,1.0,High income,High income,Europe & Central Asia,ECA,77600.0,False,11.25932270617131
d77dc0fb18d2,TEF Health - AI in Medical Imaging,Slovak Republic,2024.0,good,3,Program,Soft law,2,3,2,1,3,2,1,2,2,1,2.2,1.6,1.9,0.5,High income,High income,Europe & Central Asia,ECA,43100.0,False,10.671278276091838
2e63c129f6fa,Accelerating the use of generative AI in the economy,France,2024.0,good,3,Action Plan,Non-binding,2,3,2,1,2,2,2,2,1,2,2.0,1.8,1.9,0.9,High income,High income,Europe & Central Asia,ECA,63000.0,False,11.05089000537367
b1fa0b75b481,Transition 5.0 Plan,Italy,2024.0,good,3,Action Plan,Soft law,3,3,2,2,3,1,1,1,2,1,2.6,1.2,1.9,1.2,High income,High income,Europe & Central Asia,ECA,57200.0,False,10.95430917736789
827c7ae83d76,Egyptian Charter for Responsible AI,Egypt,2023.0,good,3,Guideline,Non-binding,1,1,2,2,3,2,2,2,2,2,1.8,2.0,1.9,0.6,Lower middle income,Developing,Middle East & North Africa,MENA,16000.0,False,9.680344001221918
383ccc8b9ea2,National AI Strategy 2.0,Singapore,2023.0,good,3,Strategy,Non-binding,2,2,2,1,3,2,1,2,2,2,2.0,1.8,1.9,0.7,High income,High income,East Asia & Pacific,EAP,133700.0,False,11.803353763090035
133c8622c23e,Manchester Prize,United Kingdom,2023.0,good,3,Program,Non-binding,3,3,2,2,1,2,1,2,1,2,2.2,1.6,1.9,0.5,High income,High income,Europe & Central Asia,ECA,62400.0,False,11.041320554357519
df96b98ccf58,Guide to the Saudi Personal Data Protection Law,Saudi Arabia,2023.0,good,3,Guideline,Soft law,2,1,2,2,2,2,3,2,2,1,1.8,2.0,1.9,0.5,High income,High income,Middle East & North Africa,MENA,65600.0,False,11.09133097493218
2bdde492c378,Digital Government Policy,Saudi Arabia,2023.0,good,3,Framework,Soft law,2,1,3,2,2,2,2,2,1,2,2.0,1.8,1.9,0.6,High income,High income,Middle East & North Africa,MENA,65600.0,False,11.09133097493218
865e8bb4cb25,Testing and Experimentation Facility for Health AI and Robotics (TEF-Health) – Czechia Node at Masaryk University,Czech Republic,2023.0,good,3,Program,Soft law,2,3,2,1,3,2,1,2,2,1,2.2,1.6,1.9,0.4,High income,High income,Europe & Central Asia,ECA,54200.0,False,10.900436187427738
94986ca36a57,Cross-sectoral Care Agreement,Netherlands,2023.0,good,3,Guideline,Soft law,2,3,2,2,2,1,1,2,2,2,2.2,1.6,1.9,2.1,High income,High income,Europe & Central Asia,ECA,74000.0,False,11.211820372186306
13b1b7c1a827,MCTI/EMBRAPII Network of Technologies and Digital Innovation,Brazil,2022.0,good,3,Strategy,Non-binding,2,1,3,2,3,2,1,2,1,2,2.2,1.6,1.9,0.3,Upper middle income,Developing,Latin America & Caribbean,LAC,20800.0,False,9.94270826568941
664a0897a051,AI Standards Hub,United Kingdom,2022.0,good,3,Program,Non-binding,2,2,3,2,3,1,1,2,1,2,2.4,1.4,1.9,0.6,High income,High income,Europe & Central Asia,ECA,62400.0,False,11.041320554357519
a18a8f343315,AI and Digital Capability Centres,Australia,2021.0,good,3,Program,Non-binding,2,3,2,3,2,1,1,2,2,1,2.4,1.4,1.9,0.8,High income,High income,East Asia & Pacific,EAP,65400.0,False,11.08827753744529
f25446be7d7c,Dutch Digitalisation Strategy 2021,Netherlands,2021.0,good,3,Strategy,Non-binding,1,2,3,1,3,2,2,2,1,2,2.0,1.8,1.9,0.8,High income,High income,Europe & Central Asia,ECA,74000.0,False,11.211820372186306
162c492141c6,NSF Program on Fairness in AI,United States,2021.0,good,3,Program,Non-binding,2,3,2,2,3,2,1,1,1,2,2.4,1.4,1.9,0.7,High income,High income,North America,NAM,85300.0,False,11.35392973347977
3329d917d3e3,Royal Decree-Law 9/2021,Spain,2021.0,good,3,Legislation,Hard law,2,0,3,1,2,2,2,2,3,2,1.6,2.2,1.9,0.8,High income,High income,Europe & Central Asia,ECA,55000.0,False,10.915088464214607
14c11a766780,Scotland's National AI Strategy (Formal Consultations),United Kingdom,2021.0,good,3,Strategy,Non-binding,2,1,2,1,3,3,2,2,1,2,1.8,2.0,1.9,0.5,High income,High income,Europe & Central Asia,ECA,62400.0,False,11.041320554357519
c6791acb5e62,Cloud Strategy: Infrastructures for the Data and AI Economy,France,2021.0,good,3,Framework,Non-binding,2,3,2,1,3,2,2,1,2,1,2.2,1.6,1.9,0.6,High income,High income,Europe & Central Asia,ECA,63000.0,False,11.05089000537367
742cde98b92a,National Program for Artificial Intelligence,Israel,2021.0,good,3,Action Plan,Non-binding,2,2,2,1,3,2,2,2,2,1,2.0,1.8,1.9,1.0,High income,High income,Middle East & North Africa,MENA,58000.0,False,10.968198289528557
92d7a51dd9cc,AI Priority Research Program and Equipment (PEPR),France,2021.0,good,3,Program,Non-binding,2,3,3,2,2,2,1,2,1,1,2.4,1.4,1.9,0.6,High income,High income,Europe & Central Asia,ECA,63000.0,False,11.05089000537367
a501202a0491,Guidance on AI and Data Protection,United Kingdom,2020.0,good,3,Guideline,Non-binding,2,1,2,2,2,2,3,2,2,1,1.8,2.0,1.9,0.5,High income,High income,Europe & Central Asia,ECA,62400.0,False,11.041320554357519
33ba715e0256,Italian Institute for AI,Italy,2020.0,good,3,Strategy,Non-binding,2,2,2,2,3,2,1,2,1,2,2.2,1.6,1.9,0.8,High income,High income,Europe & Central Asia,ECA,57200.0,False,10.95430917736789
9d33e8c0e63a,Cybersecurity Policy for AI Deployment,Colombia,2020.0,good,3,Action Plan,Soft law,2,2,2,2,3,2,2,1,1,2,2.2,1.6,1.9,0.9,Upper middle income,Developing,Latin America & Caribbean,LAC,19700.0,False,9.88837391472608
4043feb2c3da,Resolution on Automated Decision-making Processes,European Union,2020.0,good,3,Resolution,Non-binding,2,1,2,1,3,2,2,2,2,2,1.8,2.0,1.9,0.8,Unknown,,Unknown,,,True,
97ace3320338,AI Professorships,Germany,2020.0,good,3,Strategy,Non-binding,2,3,2,1,3,2,1,2,1,2,2.2,1.6,1.9,0.8,High income,High income,Europe & Central Asia,ECA,68200.0,False,11.130199843831553
36729d2f4121,Australian Identity - Matching Services Bill,Australia,2019.0,good,3,Legislation,Hard law,2,1,3,2,3,1,2,2,2,1,2.2,1.6,1.9,0.9,High income,High income,East Asia & Pacific,EAP,65400.0,False,11.08827753744529
02c24f37a75c,Federal Data Strategy,United States,2019.0,good,3,Strategy,Non-binding,2,1,2,2,2,2,2,2,2,2,1.8,2.0,1.9,0.8,High income,High income,North America,NAM,85300.0,False,11.35392973347977
33e603986725,Federal 5-Year STEM Education Strategic Plan,United States,2018.0,good,3,Strategy,Non-binding,2,2,3,2,3,1,1,2,1,2,2.4,1.4,1.9,0.7,High income,High income,North America,NAM,85300.0,False,11.35392973347977
ebf693cf6134,ICO Regulatory Sandbox,United Kingdom,2018.0,good,3,Program,Non-binding,2,1,2,2,2,2,2,2,2,2,1.8,2.0,1.9,0.4,High income,High income,Europe & Central Asia,ECA,62400.0,False,11.041320554357519
