entry_id,title,jurisdiction,year,income,coverage_pct,avg_depth,alignment_score,Human rights & human dignity,"Peaceful, just & interconnected societies",Diversity & inclusiveness,Environment & ecosystem flourishing,Proportionality & do no harm,Safety & security,Fairness & non-discrimination,Sustainability,Right to privacy & data protection,Human oversight & determination,Transparency & explainability,Responsibility & accountability,Awareness & literacy,Multi-stakeholder & adaptive governance,Ethical impact assessment,Ethical governance & stewardship,Data policy,Development & international cooperation,Environment & ecosystem,Gender,Culture,Education & research,Communication & information,Economy & labour,Health & social well-being
a23e1930dbf0,Generative Artificial Intelligence Guidelines for Government,Saudi Arabia,2024,High income,80.0,4.02,80.1,4.00,4.50,3.00,4.00,4.00,5.00,4.00,4.00,4.50,4.00,4.00,4.00,4.00,0.00,3.50,3.50,4.33,0.00,4.00,4.00,0.00,4.00,0.00,4.00,0.00
28b65a67e680,Opinion of the Data Ethics Commission,Germany,2018,High income,80.0,4.02,80.1,4.00,4.00,2.00,4.00,5.00,3.50,2.00,4.00,4.00,3.50,4.50,4.50,5.00,0.00,4.00,5.00,4.33,4.00,4.00,0.00,0.00,5.00,4.00,0.00,0.00
ce9c6b33f169,AI Framework Guiding Statements,Germany,2024,High income,80.0,4.00,80.0,4.00,3.00,4.00,5.00,0.00,5.00,3.00,5.00,4.00,4.00,4.00,3.33,5.00,3.00,3.00,3.67,4.00,3.00,5.00,0.00,0.00,5.00,0.00,4.00,0.00
54132cc20ec6,AI Ethics Principles,Saudi Arabia,2023,High income,76.0,4.25,79.6,4.00,5.00,4.00,5.00,4.00,5.00,4.50,5.00,4.50,4.00,4.00,4.33,3.00,0.00,4.00,4.00,4.50,0.00,5.00,0.00,0.00,3.00,0.00,0.00,4.00
1efdb6146ce7,Establishment of Edge nodes indicators,Slovenia,2023,High income,84.0,3.65,79.6,4.00,3.33,4.00,4.00,2.00,4.00,4.00,4.00,4.00,0.00,3.00,4.33,4.00,4.00,2.00,4.00,4.00,4.00,4.00,0.00,0.00,4.00,0.00,3.00,3.00
d31794b7a774,12th National Economic and Social Development Plan,Thailand,2017,Developing,80.0,3.95,79.6,0.00,3.50,3.50,5.00,4.00,5.00,3.33,5.00,0.00,0.00,3.00,4.00,4.00,4.50,4.00,3.67,0.00,5.00,5.00,2.00,3.00,4.00,0.00,3.50,4.00
985961b9edd6,AI-related university courses,Italy,2024,High income,84.0,3.64,79.5,3.00,4.00,4.00,4.00,0.00,4.00,3.67,4.00,2.67,3.00,2.00,3.00,5.00,3.50,0.00,3.67,3.00,4.00,4.00,3.00,0.00,5.00,0.00,4.00,4.00
d7b6dbbcefce,Future Artificial Intelligence Research (FAIR) Centre,Italy,2023,High income,92.0,3.03,79.5,3.00,2.50,4.00,4.00,3.00,4.00,2.67,4.00,2.50,4.00,2.67,2.33,4.00,3.00,2.00,2.60,2.50,2.00,4.00,2.00,0.00,4.00,0.00,3.00,2.00
822aae3c6310,The swedish Digitalisation Strategy 2025–2030,Sweden,2025,High income,88.0,3.32,79.3,2.50,2.50,4.00,4.00,0.00,4.00,2.67,4.00,3.00,2.50,2.50,3.00,5.00,3.50,2.00,3.80,3.50,3.00,4.00,2.00,0.00,5.00,0.00,3.50,3.00
5edcac29c1fb,Egypt National AI Strategy,Egypt,2019,Developing,92.0,2.99,79.1,2.00,2.33,3.00,4.00,2.00,2.00,2.33,4.00,4.00,2.00,2.00,2.33,4.00,3.67,2.00,4.00,4.00,3.00,4.00,2.00,0.00,4.00,0.00,3.00,3.00
638b4919326c,Ethics Guidelines for AI,Thailand,2021,Developing,80.0,3.86,78.9,3.33,3.50,4.00,0.00,3.00,5.00,4.33,0.00,4.00,4.00,4.50,4.50,4.00,4.00,4.00,4.00,4.00,4.00,0.00,4.00,0.00,4.00,0.00,2.00,3.00
077de2fdb548,National Digital Strategy,Colombia,2023,Developing,84.0,3.56,78.8,2.50,3.50,5.00,4.00,0.00,5.00,3.67,4.00,3.00,0.00,5.00,3.00,4.00,3.50,2.00,3.50,3.00,3.00,4.00,2.00,0.00,4.00,0.00,3.00,4.00
9568329b69db,AI R&D Guidelines,Japan,2017,High income,80.0,3.84,78.7,0.00,4.00,4.00,4.00,0.00,0.00,4.00,4.00,4.00,4.00,3.00,3.50,4.00,4.00,3.00,3.33,4.00,4.00,4.00,0.00,4.00,4.00,0.00,4.00,4.00
8f6f1bfe26a8,Funding Initiatives on AI and Machine Learning,Germany,2017,High income,84.0,3.53,78.7,3.00,3.00,3.50,4.00,0.00,3.00,3.00,4.00,2.67,4.00,3.00,2.00,5.00,4.00,0.00,2.67,3.33,4.00,4.00,0.00,3.00,5.00,0.00,4.00,4.00
0b960cf6f552,CurrentAI,France,2025,High income,76.0,4.09,78.3,0.00,4.00,4.00,4.00,0.00,4.00,4.00,4.00,4.00,0.00,4.33,4.33,4.00,4.00,4.00,4.00,4.00,4.00,4.00,0.00,4.00,4.00,0.00,5.00,0.00
003e5116aed8,Generative Artificial Intelligence Guidelines Public,Saudi Arabia,2024,High income,80.0,3.78,78.2,2.50,4.50,4.00,4.00,3.00,4.50,4.50,4.00,3.67,3.00,4.00,3.75,4.00,0.00,3.00,3.50,3.67,0.00,4.00,0.00,0.00,4.00,4.00,4.00,0.00
005775d5a30e,The National AI Policy,Rwanda,2023,Developing,80.0,3.77,78.2,0.00,3.50,3.00,4.00,3.00,0.00,3.50,4.00,4.00,4.00,3.50,4.00,4.50,4.00,3.00,4.00,4.00,4.00,4.00,0.00,0.00,4.50,0.00,3.00,4.00
dbc7d7bbde3d,ASEAN Digital Masterplan 2025,Association of Southeast Asian Nations,2021,Unknown,84.0,3.46,78.1,0.00,2.50,3.00,5.00,2.00,2.00,4.00,5.00,4.00,3.00,4.00,3.50,4.00,4.00,0.00,3.75,3.50,3.50,5.00,0.00,2.00,4.00,0.00,3.00,2.00
827c7ae83d76,Egyptian Charter for Responsible AI,Egypt,2023,Developing,76.0,4.05,78.0,3.50,4.50,4.00,0.00,0.00,4.00,4.50,0.00,3.50,4.00,4.50,4.50,4.00,4.00,5.00,3.50,4.00,4.00,0.00,0.00,4.00,4.00,0.00,3.50,4.00
873b2d1abf14,Declaration of Santiago,"The United Nations Educational, Scientific and Cultural Organization",2023,Unknown,96.0,2.53,77.8,3.00,2.00,3.00,2.00,2.00,2.00,2.67,2.00,2.25,2.00,2.00,2.67,3.50,3.50,2.00,3.33,2.33,3.00,2.00,3.00,3.00,3.50,0.00,2.00,2.00
14599b3659af,Mandatory Guardrails for Safe and Responsible AI,Australia,2024,High income,84.0,3.43,77.8,0.00,3.00,4.00,2.00,4.00,5.00,4.00,2.00,3.00,0.00,4.00,3.00,4.00,3.50,4.00,3.00,3.00,4.00,2.00,0.00,4.00,4.00,0.00,3.50,3.00
8f5eefa0f96f,Ethics Guidelines on Artificial Intelligence,European Union,2018,Unknown,84.0,3.43,77.8,2.50,3.50,3.00,4.00,2.00,4.00,3.67,4.00,3.00,4.00,3.67,3.67,3.00,0.00,3.00,4.00,3.00,0.00,4.00,4.00,0.00,3.00,0.00,3.00,4.00
a9b196933dca,National Approach to AI,Sweden,2018,High income,80.0,3.71,77.7,0.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,2.50,2.67,4.50,4.00,0.00,4.00,4.00,4.00,4.00,0.00,0.00,4.50,0.00,3.00,4.00
1b154d1b481d,"Executive Order on the Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence",United States,2023,High income,84.0,3.41,77.7,2.00,3.50,4.00,0.00,4.00,3.50,4.00,0.00,3.00,2.00,3.33,3.50,4.00,4.00,3.00,3.20,3.50,4.00,0.00,4.00,0.00,4.00,4.00,3.00,2.00
8ce3f59bc0a2,Irish National AI Strategy 2021,Ireland,2021,High income,80.0,3.69,77.5,4.00,3.50,4.00,4.00,0.00,4.00,4.00,4.00,2.67,2.00,3.50,4.00,4.00,4.00,0.00,3.80,3.33,4.00,4.00,4.00,0.00,4.00,0.00,3.00,0.00
3ac2c47b09d8,National Cybersecurity Strategy,Costa Rica,2023,Developing,84.0,3.36,77.3,4.00,3.00,4.00,2.00,4.00,5.00,4.00,2.00,2.00,0.00,3.00,3.00,4.00,4.00,3.50,4.00,2.00,4.00,2.00,0.00,4.00,4.00,0.00,3.00,0.00
5ddc1bdd8e29,AI Studios,Germany,2023,High income,84.0,3.35,77.2,2.33,3.00,3.50,4.00,0.00,3.00,3.00,4.00,3.00,3.00,3.00,2.00,5.00,4.00,0.00,2.00,3.50,4.00,4.00,0.00,3.00,5.00,0.00,3.00,3.00
22d136d2e569,Resolution on a Comprehensive European Industrial Policy on Artificial Intelligence and Robotics,European Union,2019,Unknown,80.0,3.62,77.0,3.67,3.00,4.00,0.00,4.00,4.00,3.67,0.00,4.00,4.00,4.00,3.00,4.00,3.00,4.00,3.17,4.00,3.00,0.00,4.00,0.00,4.00,0.00,3.00,3.00
33ba715e0256,Italian Institute for AI,Italy,2020,High income,76.0,3.87,76.5,4.00,3.00,4.00,4.00,0.00,0.00,3.67,4.00,0.00,3.00,2.50,4.00,5.00,4.33,3.00,4.00,4.00,5.00,4.00,4.00,0.00,5.00,0.00,3.00,0.00
1df668bc6bd4,AI Task Force Report,Estonia,2019,High income,84.0,3.27,76.5,0.00,3.00,3.00,3.00,0.00,4.00,3.00,3.00,4.00,4.00,2.00,3.33,4.00,4.00,2.00,3.25,4.00,4.00,3.00,0.00,3.00,4.00,0.00,3.00,2.00
febbae14c334,National AI Strategy,Türkiye,2021,Developing,84.0,3.26,76.5,2.00,3.00,4.00,4.00,2.00,2.00,3.00,4.00,3.33,4.00,2.50,2.00,4.00,3.00,0.00,3.67,4.00,3.00,4.00,0.00,0.00,4.00,0.00,4.00,3.00
dfb5156126ae,Artificial Intelligence Act (AI ACT),European Union,2024,Unknown,80.0,3.56,76.5,3.67,4.00,3.00,0.00,4.00,4.00,3.67,0.00,3.25,3.50,4.00,2.50,4.00,3.50,2.00,3.40,3.67,4.00,0.00,4.00,0.00,4.00,0.00,4.00,3.00
0b823dc129ba,National Ethical Guidelines for Biomedical and Health Research Involving Human Participants,India,2017,Developing,72.0,4.10,76.0,3.67,4.50,4.00,0.00,4.00,3.00,4.50,0.00,4.33,4.00,4.00,4.00,4.00,5.00,4.50,4.25,4.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,4.00
eca63102fb54,Industrial Strategy: Building a Britain Fit for the Future (White Paper),United Kingdom,2017,High income,80.0,3.45,75.6,0.00,4.00,4.00,4.00,0.00,2.00,3.33,4.00,2.00,0.00,3.00,4.00,4.00,4.00,3.00,3.67,2.00,4.00,4.00,2.00,0.00,4.00,0.00,4.00,4.00
1a5e0e108d0d,National Framework for Artificial Intelligence in Digital Learning (AIDL),Saudi Arabia,2023,High income,72.0,4.04,75.5,0.00,3.50,4.50,0.00,4.00,4.00,4.33,0.00,4.50,4.00,3.50,4.25,5.00,4.00,4.00,4.67,4.50,0.00,0.00,3.00,4.00,5.00,0.00,2.00,0.00
d8b4a19d5e7b,Digital Switzerland Strategy,Switzerland,2020,High income,80.0,3.44,75.5,3.00,3.00,4.00,3.00,0.00,5.00,4.00,3.00,4.00,3.00,3.50,2.00,4.00,4.00,2.00,3.33,4.00,4.00,3.00,0.00,0.00,4.00,0.00,3.00,0.00
0eb80dd3b943,National Research and Innovation Strategy,Luxembourg,2020,High income,72.0,4.04,75.5,0.00,3.50,4.00,5.00,0.00,0.00,4.00,5.00,4.00,0.00,3.00,3.50,4.00,4.00,0.00,3.67,4.00,4.00,5.00,0.00,4.00,4.00,0.00,4.00,4.00
8afb7ed07444,"High Level committee by a Digital, Innovative and Competitive Peru",Peru,2018,Developing,80.0,3.43,75.5,2.00,3.00,4.00,4.00,0.00,0.00,3.67,4.00,2.00,0.00,2.00,3.00,5.00,3.67,4.00,3.33,2.00,4.00,4.00,4.00,0.00,5.00,0.00,3.00,3.00
ab715542a7ea,AI Action Plan,Hungary,2020,High income,80.0,3.41,75.3,3.50,2.50,3.00,4.00,0.00,4.00,2.50,4.00,2.50,3.50,2.50,3.00,4.00,4.00,0.00,3.67,3.00,4.00,4.00,0.00,0.00,4.00,0.00,3.50,3.00
f658efe850ec,AI Task Force,Colombia,2020,Developing,80.0,3.39,75.1,0.00,3.00,4.00,4.00,3.00,3.00,4.00,4.00,0.00,2.00,2.50,3.00,4.00,4.00,3.00,3.33,3.00,4.00,4.00,0.00,0.00,4.00,0.00,3.00,3.00
14c11a766780,Scotland's National AI Strategy (Formal Consultations),United Kingdom,2021,High income,76.0,3.68,75.1,3.50,3.50,4.00,4.00,0.00,4.00,4.00,4.00,0.00,3.00,3.50,3.00,4.00,4.00,0.00,3.50,0.00,4.00,4.00,4.00,0.00,4.00,0.00,3.00,3.00
ef4323fa5a78,Developing the Next Generation of AI Talent,United Kingdom,2018,High income,76.0,3.68,75.1,0.00,4.00,4.00,2.00,0.00,3.00,4.00,2.00,5.00,0.00,2.50,3.00,5.00,4.00,0.00,3.50,5.00,4.00,2.00,0.00,4.00,5.00,0.00,4.00,4.00
4fc22cc8d980,Special Committee on Artificial Intelligence in the Digital Age (AIDA),European Union,2020,Unknown,80.0,3.38,75.1,3.00,2.50,4.00,0.00,3.50,4.00,3.33,0.00,4.00,3.50,3.33,2.50,4.00,2.50,3.33,3.67,4.00,3.00,0.00,4.00,0.00,4.00,0.00,3.50,2.00
0951e356e664,Approach Document for India: Part 2 - Operationalizing Principles for Responsible AI,India,2021,Developing,72.0,3.97,75.0,2.00,4.00,4.00,0.00,5.00,4.00,4.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,4.50,4.00,4.00,0.00,0.00,4.00,0.00,4.00,0.00,4.00,0.00
3e4b24502b37,AI Guidelines for Business Ver1.0,Japan,2024,High income,72.0,3.97,75.0,4.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,0.00,0.00,5.00,3.00,3.50,4.00,3.50,4.00,0.00,4.00,4.00,0.00,0.00,3.50,0.00,4.00,0.00
576318f01f67,National Health Strategy 2030,Bulgaria,2022,Developing,72.0,3.94,74.8,0.00,4.00,4.00,4.00,3.50,4.00,4.00,4.00,0.00,0.00,0.00,4.00,4.00,4.00,4.00,3.50,4.00,4.00,4.00,0.00,0.00,4.00,0.00,4.00,4.00
0aa73b251ae0,Concept for the Development of AI in Bulgaria Until 2030,Bulgaria,2020,Developing,76.0,3.64,74.7,3.50,3.00,4.00,0.00,0.00,4.00,3.67,0.00,4.00,3.00,4.00,3.00,5.00,3.00,3.00,4.00,4.00,3.00,0.00,4.00,0.00,5.00,0.00,3.00,3.00
7aeac4490058,Action Plan on Human Rights,Türkiye,2021,Developing,76.0,3.64,74.7,4.25,3.50,4.00,0.00,0.00,2.00,4.00,0.00,3.00,4.00,4.00,3.67,4.00,4.00,3.00,4.67,4.00,4.00,0.00,4.00,0.00,4.00,0.00,3.00,2.00
cc940499d1c1,AI Strategy of Japan,Japan,2019,High income,72.0,3.94,74.7,3.00,4.00,4.00,4.00,0.00,4.00,4.00,4.00,0.00,4.00,3.50,3.33,4.00,5.00,0.00,3.00,4.00,5.00,4.00,0.00,0.00,4.00,0.00,4.00,0.00
aac6dbd3e4e7,Brazilian Strategy for Digital Transformation,Brazil,2018,Developing,76.0,3.62,74.6,2.00,4.00,4.00,4.00,0.00,0.00,3.33,4.00,3.00,0.00,3.00,3.00,4.50,5.00,0.00,3.50,3.00,5.00,4.00,2.00,0.00,4.50,0.00,4.00,3.00
85fce2e0d219,Centres of Excellence for AI Research,Germany,2018,High income,76.0,3.62,74.5,3.00,3.00,4.00,4.00,0.00,0.00,3.00,4.00,3.00,4.00,2.00,2.00,5.00,4.50,0.00,2.00,3.25,5.00,4.00,0.00,0.00,5.00,0.00,4.00,4.00
9d33e8c0e63a,Cybersecurity Policy for AI Deployment,Colombia,2020,Developing,72.0,3.92,74.5,0.00,4.00,0.00,3.00,4.00,5.00,4.00,3.00,4.00,0.00,3.50,3.00,5.00,4.00,4.00,4.00,4.00,4.00,3.00,0.00,0.00,5.00,0.00,4.00,0.00
076227526e80,Brazilian AI strategy,Brazil,2021,Developing,72.0,3.90,74.4,4.00,3.67,4.00,0.00,4.00,0.00,4.00,0.00,4.00,4.00,3.00,4.00,4.00,5.00,2.00,3.50,4.00,5.00,0.00,0.00,0.00,4.00,0.00,4.00,4.00
8b93967d7f94,AI Utilisation Guidelines,Japan,2019,High income,72.0,3.89,74.3,5.00,3.50,3.67,3.00,0.00,5.00,4.33,3.00,5.00,4.50,4.00,3.50,3.00,5.00,0.00,3.50,5.00,0.00,3.00,0.00,3.00,3.00,0.00,0.00,0.00
383ccc8b9ea2,National AI Strategy 2.0,Singapore,2023,High income,72.0,3.86,74.1,0.00,4.50,4.00,4.00,0.00,4.00,4.00,4.00,0.00,2.00,3.00,3.00,4.50,4.00,0.00,3.67,4.00,4.00,4.00,0.00,0.00,4.50,0.00,4.33,4.00
d7e5c618f63a,ASEAN Guide on AI Governance and Ethics,Singapore,2024,High income,68.0,4.15,74.0,5.00,3.50,3.00,0.00,4.00,5.00,4.00,0.00,5.00,5.00,4.67,4.33,4.00,4.00,4.00,4.00,5.00,0.00,0.00,0.00,0.00,4.00,0.00,2.00,0.00
5f9d72f7af7d,National AI Strategy 2.0,Estonia,2022,High income,72.0,3.81,73.7,0.00,4.50,4.00,4.00,0.00,4.00,4.00,4.00,0.00,2.00,3.50,3.00,4.50,4.00,0.00,3.33,3.00,4.00,4.00,0.00,0.00,4.50,0.00,4.33,4.00
c39c1ef35f13,UK Government's Guidelines for AI Procurement,United Kingdom,2019,High income,68.0,4.09,73.5,3.00,4.00,4.00,0.00,4.00,2.00,4.00,0.00,5.00,4.00,3.67,4.00,5.00,0.00,4.50,4.33,5.00,0.00,0.00,4.00,0.00,5.00,0.00,4.00,0.00
a259b4f44199,France 2030: digital health acceleration strategy,France,2021,High income,72.0,3.78,73.4,0.00,3.50,4.00,3.00,0.00,0.00,4.00,3.00,4.00,0.00,3.00,4.00,4.50,4.00,4.00,4.00,4.00,4.00,3.00,0.00,0.00,4.50,0.00,3.50,4.00
7803568735eb,Strategy of the e-Health Centre – summary 2023-2027,Poland,2023,High income,72.0,3.77,73.4,3.25,3.67,4.00,0.00,3.00,4.00,4.00,0.00,4.00,3.00,3.00,3.50,5.00,4.00,3.00,4.00,4.00,3.50,0.00,0.00,0.00,5.00,0.00,4.00,0.00
bb6825f0ef07,European Group on Ethics in Science and New Technologies (EGE),European Union,1991,Unknown,72.0,3.76,73.3,4.00,4.00,4.00,3.00,0.00,3.00,4.00,3.00,2.00,0.00,5.00,3.00,5.00,5.00,0.00,4.25,2.00,4.50,3.00,0.00,0.00,5.00,0.00,4.00,0.00
4459a0d97780,Automated and Connected Driving,Germany,2020,High income,68.0,4.03,73.0,0.00,4.00,4.00,4.00,0.00,5.00,4.00,4.00,4.00,0.00,3.50,4.00,4.00,4.00,0.00,4.00,4.00,4.00,4.00,0.00,0.00,4.00,0.00,4.00,0.00
92f7f41aaf0c,Autonomous Driving in European Transport,European Union,2019,Unknown,68.0,4.03,73.0,0.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,0.00,3.50,4.00,4.00,0.00,4.00,4.00,4.00,0.00,4.00,0.00,0.00,4.00,0.00,4.00,0.00
7bfce7360d35,Recommendations for a trustworthy Artificial Intelligence,Argentina,2023,Developing,72.0,3.72,72.9,3.50,3.50,3.00,0.00,0.00,4.00,3.67,0.00,4.25,4.00,4.33,3.33,4.00,4.00,3.00,3.00,4.33,4.00,0.00,4.00,0.00,4.00,0.00,3.00,0.00
809904847ba6,Research Platforms,Belgium,2010,High income,72.0,3.71,72.9,0.00,3.50,4.00,4.00,4.00,3.00,4.00,4.00,0.00,3.00,0.00,3.00,4.00,0.00,4.00,3.33,0.00,3.00,4.00,0.00,4.00,4.00,0.00,4.00,4.00
de836ce0d2e6,Artificial Intelligence in the Financial Sector – Interim Report of the Inter-Agency Task Force on the Use of Artificial Intelligence and Machine Learning in Israel's Financial Sector,Israel,2025,High income,72.0,3.70,72.8,3.00,4.00,2.00,0.00,4.50,4.00,3.50,0.00,4.25,4.00,4.00,4.33,3.00,0.00,3.67,4.00,4.33,0.00,0.00,0.00,0.00,3.00,5.00,3.00,3.00
d6a2dd4887c3,Office for AI,United Kingdom,2018,High income,76.0,3.39,72.8,0.00,3.00,4.00,2.00,0.00,3.00,4.00,2.00,4.00,3.00,3.00,2.50,5.00,3.50,0.00,3.50,4.00,3.00,2.00,0.00,0.00,5.00,0.00,4.00,4.00
fc4f62d411e5,Projects under Food Vision 2030,Ireland,2021,High income,76.0,3.39,72.8,0.00,2.50,2.50,5.00,2.00,3.00,3.50,5.00,4.00,0.00,2.50,4.00,0.00,4.00,3.00,4.50,4.00,3.00,5.00,0.00,2.00,0.00,0.00,2.00,3.00
98467735e3a7,HORIZON Europe,European Union,2020,Unknown,72.0,3.65,72.4,0.00,3.50,3.50,4.00,0.00,0.00,4.00,4.00,4.00,0.00,3.00,4.00,3.50,4.00,0.00,3.67,4.00,4.00,4.00,0.00,3.00,3.50,0.00,3.00,3.00
679070084bef,Digital Agenda for Norway,Norway,2015,High income,72.0,3.64,72.3,0.00,3.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,0.00,3.00,3.50,4.00,0.00,4.00,0.00,0.00,4.00,0.00,3.00,0.00
c03b5157de5e,AI-assisted precision surgery in oncology,Germany,2024,High income,68.0,3.92,72.2,0.00,4.00,5.00,3.00,0.00,4.00,5.00,3.00,5.00,4.00,3.00,3.50,4.00,0.00,3.50,0.00,4.67,0.00,3.00,0.00,0.00,4.00,0.00,4.00,4.00
0bccd2666e69,National Alliance of Artificial Intelligence,Mexico,2023,Developing,76.0,3.32,72.2,4.00,3.00,3.67,3.00,0.00,0.00,4.33,3.00,2.00,0.00,2.00,2.00,5.00,4.33,0.00,3.75,2.00,5.00,3.00,0.00,2.00,5.00,0.00,4.00,2.00
c6791acb5e62,Cloud Strategy: Infrastructures for the Data and AI Economy,France,2021,High income,64.0,4.22,72.2,0.00,4.50,3.00,5.00,0.00,4.50,3.00,5.00,0.00,0.00,3.00,5.00,4.00,4.00,0.00,4.50,4.00,5.00,5.00,0.00,0.00,4.00,0.00,4.00,0.00
be943f5c30f2,National AI Strategy,Indonesia,2020,Developing,76.0,3.32,72.1,2.00,3.00,4.00,4.00,2.00,0.00,3.00,4.00,4.00,0.00,2.50,2.00,4.00,3.00,0.00,3.50,4.00,3.00,4.00,0.00,0.00,4.00,0.00,4.00,3.00
1c23735b9ce2,Ethical Guidelines for Self-driving Cars,Germany,2016,High income,72.0,3.61,72.1,3.00,3.00,4.00,0.00,4.00,4.00,4.00,0.00,4.00,4.00,3.00,3.50,3.00,4.00,4.00,3.50,4.00,0.00,0.00,4.00,0.00,3.00,0.00,3.00,0.00
c9002f860f45,Proposals and Report for an Italian Strategy on AI,Italy,2018,High income,72.0,3.61,72.1,4.00,4.00,2.00,4.00,0.00,4.00,3.00,4.00,4.00,4.00,2.00,3.50,4.00,4.00,2.50,4.00,4.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00
5225adf63d55,Alan Turing Institute,United Kingdom,2015,High income,68.0,3.89,71.9,0.00,4.00,4.00,4.00,0.00,4.00,4.00,4.00,0.00,3.00,3.50,3.00,4.00,4.00,0.00,3.67,4.00,4.00,4.00,0.00,0.00,4.00,0.00,5.00,0.00
